영화 제목,썸네일,유튜브 제목,어그로표현 있음,내용,자극,의문,THUMB,내용있는어그로,video_id,자극+의문,char
"13층,thirteenfloor’1999",https://i.ytimg.com/vi/sJ-BZWUe23c/hqdefault.jpg,난 살인자가 아니다? 경찰은 날 의심한다 한번보고 시간이 지났을때 다시보게되는 층     ,1,1,0,1,1,1,sJ-BZWUe23c,1,10
1408,https://i.ytimg.com/vi/H1DAKjuWPfk/hqdefault.jpg,수십명이 죽은 저주의 방에서 한 시간 버티기;;,1,1,1,0,1,1,H1DAKjuWPfk,1,7
17again,https://i.ytimg.com/vi/nUARkeNqm4s/hqdefault.jpg,일진들에게 괴롭힘 당하는 아들을 돕는 방법  영화     ,1,1,1,1,1,1,nUARkeNqm4s,2,10
17어게인,https://i.ytimg.com/vi/FBIIgS6Zc5E/hqdefault.jpg,나 다시 고등학생이 돼버렸어!!??  하이틴영화              ,1,1,0,1,1,1,FBIIgS6Zc5E,1,5
1987,https://i.ytimg.com/vi/frTN6L7xkS4/hqdefault.jpg, 관람 전에 꼭 봐야할 영화들,1,0,1,0,0,0,frTN6L7xkS4,1,6
1BR,https://i.ytimg.com/vi/_xTXLB5QXX8/hqdefault.jpg,아파트 입주 전 반드시 봐야 할 영화가 있다고?      ,1,0,1,1,1,0,_xTXLB5QXX8,2,9
1급기밀,https://i.ytimg.com/vi/A2-1vmwhEqo/hqdefault.jpg,서울한복판에서 총을 들고 벌어진 실화,1,0,0,1,1,0,A2-1vmwhEqo,1,5
1급기밀,https://i.ytimg.com/vi/nCekPqVz5qU/hqdefault.jpg,세금 조원 써보는 영화,0,1,0,0,0,0,nCekPqVz5qU,0,4
1급기밀,https://i.ytimg.com/vi/5f4agCEaVsU/hqdefault.jpg,억에 나라를 팔아먹은 군인,0,1,0,0,0,0,5f4agCEaVsU,0,4
2012,https://i.ytimg.com/vi/vw_OmIseYH4/hqdefault.jpg,지구멸망 시간전    부자들이 하는 행동  ㅎ ㄷ     ,1,1,1,1,1,1,vw_OmIseYH4,2,7
21,https://i.ytimg.com/vi/4ahQ4js430g/hqdefault.jpg,  천재 공대생이 상위    부자 되는 참신한 방법,1,1,1,1,1,1,4ahQ4js430g,2,9
21,https://i.ytimg.com/vi/Kw4UtTzhZsU/hqdefault.jpg,명문대 수학 천재가 카지노를 터는 방법,1,1,1,1,0,1,Kw4UtTzhZsU,2,6
21,https://i.ytimg.com/vi/uNt1qabBzxU/hqdefault.jpg,수학 계산으로 천재들이 카지노를 털면 벌어지는 일 넷플릭스 추천     ,1,1,1,1,1,1,uNt1qabBzxU,2,8
23아이덴티티,https://i.ytimg.com/vi/T6kahMZJi9w/hqdefault.jpg,명에게 납치 감금된 세계 최고 미녀!,1,1,1,0,0,1,T6kahMZJi9w,1,6
23아이덴티티,https://i.ytimg.com/vi/LP9AYP-Ml6s/hqdefault.jpg,역대급 반전과 여배우의 최강미모로 전세계 극장을 쓸어버린 영화,1,0,1,0,1,0,LP9AYP-Ml6s,1,8
23아이덴티티,https://i.ytimg.com/vi/Kx35VdL8gF8/hqdefault.jpg,신체가 진화하는 다중인격장애,0,1,0,0,1,0,Kx35VdL8gF8,0,3
23아이텐티티,https://i.ytimg.com/vi/suoBiHD6xBU/hqdefault.jpg,명의 자아를 가진 남자로부터 탈출해야하는 소녀      ,0,1,0,0,1,0,suoBiHD6xBU,0,7
28주후,https://i.ytimg.com/vi/om6oYOkUIbc/hqdefault.jpg, 부터 특별한 좀비,0,1,0,0,1,0,om6oYOkUIbc,0,3
28주후,https://i.ytimg.com/vi/OzbfJcMqKZg/hqdefault.jpg,영국을 멸망시킨 좀비 바이러스,0,1,0,0,0,0,OzbfJcMqKZg,0,4
28주후,https://i.ytimg.com/vi/H8pAN7lA_OA/hqdefault.jpg,마지막 한방으로 유럽 여자들을 좀비로 만든 소년,0,0,0,0,1,0,H8pAN7lA_OA,0,7
3%,https://i.ytimg.com/vi/qdJ3fcnMQdw/hqdefault.jpg,수능 등급 못맞은  는 거지가 되는 미래,1,1,1,0,1,1,qdJ3fcnMQdw,1,7
3%,https://i.ytimg.com/vi/P7h_5IaQAUk/hqdefault.jpg,상위   부자들이 서민들을 합법적으로 무시하는 미래사회,1,1,1,0,1,1,P7h_5IaQAUk,1,7
300,https://i.ytimg.com/vi/bLfX34fiNTI/hqdefault.jpg,넷플릭스에 나오면 압도적 위 찍을 레전드 중세영화  ,1,0,1,0,0,0,bLfX34fiNTI,1,7
365데이즈,https://i.ytimg.com/vi/Z1PTj29zeJc/hqdefault.jpg,존잘 납치범의 미친매력에 홀려 결혼해 달라고 애원하는 여자들  ㅎ ㄷ,1,0,1,0,1,0,Z1PTj29zeJc,1,10
365일,https://i.ytimg.com/vi/DvkcQobtT-A/hqdefault.jpg,올해 넷플릭스에서 제일 많이 본 폴란드 금 영화   한국  전 세계 둘 다 위,1,0,1,0,1,0,DvkcQobtT-A,1,15
365일,https://i.ytimg.com/vi/_nDYcESJImM/hqdefault.jpg,넷플릭스에서 미친 수위 하나로 전세계 위 찍은 레전드 영화  ,1,0,1,0,1,0,_nDYcESJImM,1,9
365일,https://i.ytimg.com/vi/dTxI5aq7rDw/hqdefault.jpg,감독이 미쳐서 만든 역대급 넷플릭스에서 가장 야한 영화;  넷플릭스 추천 ,1,0,1,0,1,0,dTxI5aq7rDw,1,10
3퍼센트,https://i.ytimg.com/vi/b3hFjI05Vgw/hqdefault.jpg,   천재가 부자와 노예를 구분하는 방법,1,1,1,1,1,1,b3hFjI05Vgw,2,7
400days,https://i.ytimg.com/vi/FNpm1lSVMu0/hqdefault.jpg,우주선에 일동안 갇혀있으면 억을 주는 실험알바  ㅎ ㄷ     ,1,1,1,0,1,1,FNpm1lSVMu0,1,8
400데이즈,https://i.ytimg.com/vi/6KrcoPDmQkg/hqdefault.jpg,지하 실험장에서 벌어진 일간의 끔찍한 기록   ,1,1,1,0,1,1,6KrcoPDmQkg,1,6
400데이즈,https://i.ytimg.com/vi/VQr3kQzTFf0/hqdefault.jpg,밀폐된 공간에서 명의 남자와 년간 미션수행을 해야하는 미녀,0,1,0,0,1,0,VQr3kQzTFf0,0,8
40데이즈40나이트,https://i.ytimg.com/vi/MZqNuYWK4OI/hqdefault.jpg,아무리 영화라지만    일 동안 금딸하기로 한다고  ?  넷플릭스 추천 ,1,1,1,1,1,1,MZqNuYWK4OI,2,8
47미터,https://i.ytimg.com/vi/Q6C_qLmgm2Q/hqdefault.jpg,고대 도시 큰 어항에 갇힌 대학생들에게 생긴 일,1,1,0,1,1,1,Q6C_qLmgm2Q,1,8
47미터,https://i.ytimg.com/vi/htOHAcNO1Rc/hqdefault.jpg,상어에 둘러싸인 해저로 떨어지면 생기는 일  영화      ,1,1,0,1,1,1,htOHAcNO1Rc,1,9
47미터,https://i.ytimg.com/vi/Hx4tvwjrw5Y/hqdefault.jpg,식인상어 약 올렸다가 역관광 당하는 영화,1,1,1,0,0,1,Hx4tvwjrw5Y,1,6
47미터,https://i.ytimg.com/vi/_Ix__obpFDw/hqdefault.jpg, 진짜미친결말해석  이제껏 본적없는 상어영화,1,1,1,0,1,1,_Ix__obpFDw,1,4
47미터,https://i.ytimg.com/vi/8zpaPIPld2I/hqdefault.jpg,호화여행 떠난 두 여자에게 벌어진 일,1,1,0,1,1,1,8zpaPIPld2I,1,6
47미터,https://i.ytimg.com/vi/fT7I5pFtxl4/hqdefault.jpg,여름만 되면 꼭 한 번씩 생각나는 상어 영화     ,1,1,1,0,0,1,fT7I5pFtxl4,1,8
47미터2,https://i.ytimg.com/vi/GM7D5VBTA2Q/hqdefault.jpg,심해 미터에서 만난 끔찍한 존재,1,1,1,0,1,1,GM7D5VBTA2Q,1,5
47미터2,https://i.ytimg.com/vi/WvHQADxSaxc/hqdefault.jpg,해저에서 진화한 백상아리를 만난 소녀들,0,1,0,0,0,0,WvHQADxSaxc,0,5
47미터2,https://i.ytimg.com/vi/_SwSz_Pcx_k/hqdefault.jpg,금지된 곳으로 굳이 여행을 떠난 여자들의 최후   ,1,1,0,1,0,1,_SwSz_Pcx_k,1,7
48시간:지구최후의날,https://i.ytimg.com/vi/h0gp7AdX7VQ/hqdefault.jpg,지구종말 직전 미쳐버린 사람들 ㅋ,1,1,1,0,1,1,h0gp7AdX7VQ,1,5
48시간:지구최후의날,https://i.ytimg.com/vi/zKVQxIP0Wxo/hqdefault.jpg,단 하룻밤 만에 세상이 멸망했다고??      ,1,1,0,1,1,1,zKVQxIP0Wxo,1,7
4x4,https://i.ytimg.com/vi/Wf-Tj0hHQFU/hqdefault.jpg,        남의 차에 오줌 쌌다가 인생 조진 남자 ㅋ,1,1,1,0,1,1,Wf-Tj0hHQFU,1,11
4교시추리영역,https://i.ytimg.com/vi/F3OS9dmDyEw/hqdefault.jpg, 유승호  강소라 주연  교실에서 일어난 의문의 살인사건  교시 내로 범인을 잡아야 한다! 영화 교시 추리영역    점  ,0,1,0,0,1,0,F3OS9dmDyEw,0,17
4등,https://i.ytimg.com/vi/TR9mnCoJSLM/hqdefault.jpg,부모들이 자식과 함께 한 번쯤 봐야하는 영화,1,0,1,0,0,0,TR9mnCoJSLM,1,7
50/50,https://i.ytimg.com/vi/pZYeMxjEERA/hqdefault.jpg,열정만 넘치는 존예 의사가 죽어가는 남자를 치료하는 법    ,1,1,1,1,1,1,pZYeMxjEERA,2,9
7500,https://i.ytimg.com/vi/2dH47L5AlYo/hqdefault.jpg,분 뒤에 비행기에서 이런 일이 일어날 거라고 아무도 예상하지 못했을 끔찍한 일,1,1,1,1,0,1,2dH47L5AlYo,2,12
7가지유혹,https://i.ytimg.com/vi/q6uzXjuYRuo/hqdefault.jpg,너무 섹시한 악마에게 모태솔로가 소원을 빌면 일어나는 일  ,1,1,1,1,1,1,q6uzXjuYRuo,2,8
7가지유혹,https://i.ytimg.com/vi/kKpksEUtkKw/hqdefault.jpg,번이나 버틸 자신 있어?,1,0,0,1,1,0,kKpksEUtkKw,1,4
7광구,https://i.ytimg.com/vi/yssa4K-iH-o/hqdefault.jpg,대한민국  영화를 년간 멸종시켰던 전설의 망작  ,1,0,1,0,0,0,yssa4K-iH-o,1,6
7단계,https://i.ytimg.com/vi/xsxgHss35TI/hqdefault.jpg,코로나가 애교수준인 치사율   전염병이 전세계에 퍼졌다      ,1,1,1,0,1,1,xsxgHss35TI,1,9
7번째내가죽던날,https://i.ytimg.com/vi/XDzgA_Zhh6Q/hqdefault.jpg,시공간에 갇혀 무려 일곱 번 사망한 여자,0,1,0,0,0,0,XDzgA_Zhh6Q,0,7
7월22일,https://i.ytimg.com/vi/E2_dX2wB5ko/hqdefault.jpg,전세계 학부모를 분노하게 만든 고립된 섬에서 일어난 실화,1,1,1,1,1,1,E2_dX2wB5ko,2,8
7월22일,https://i.ytimg.com/vi/TtfxVK0r5oU/hqdefault.jpg,전 세계를 충격에 빠트린 사이코패스 실화   ,1,1,1,1,1,1,TtfxVK0r5oU,2,6
8마일,https://i.ytimg.com/vi/u0NWKj2I_-s/hqdefault.jpg,에미넴의 막장 과거,1,1,1,1,0,1,u0NWKj2I_-s,2,3
8번가의기적,https://i.ytimg.com/vi/kE_TPo7Nby8/hqdefault.jpg,      박살난 물건도 새것으로 만드는 능력을 가진 비행접시?,1,1,0,1,1,1,kE_TPo7Nby8,1,9
8번가의기적,https://i.ytimg.com/vi/Op3besYPUp0/hqdefault.jpg,귀여워 미치는 아기  를 출산한 외계 비행체,1,1,1,0,0,1,Op3besYPUp0,1,7
AI,https://i.ytimg.com/vi/tV47LfZxjFE/hqdefault.jpg,인간과   똑같은 인공지능 로봇이 개발되면 벌어지는 일,1,1,1,1,0,1,tV47LfZxjFE,2,8
Ava,https://i.ytimg.com/vi/DYUM_xF-oPc/hqdefault.jpg,섹시함을 무기로 내세우는 최정예 여성 킬러!  첩보액션영화 ,1,1,1,0,1,1,DYUM_xF-oPc,1,7
A특공대,https://i.ytimg.com/vi/TQ27B36ajYA/hqdefault.jpg,너무 유쾌해서 상쾌함이 주체가 안되는 통쾌한 영화,1,0,1,0,1,0,TQ27B36ajYA,1,7
"Bewithyou,지금만나러갑니다",https://i.ytimg.com/vi/i_gs1nHSjEo/hqdefault.jpg,만나면 반드시 사랑을 하게되는 사이 첫사랑 영화 지금 만나러갑니다 ㅈ いま 会いにゆきます 해바라기 천생연분    ,1,1,1,0,1,1,i_gs1nHSjEo,1,8
Curve,https://i.ytimg.com/vi/IaoLI0oeDYI/hqdefault.jpg, 단편   눈을 떠보니 한 발자국만 움직일수 없는 급경사에 고립된 여자,0,1,0,0,1,0,IaoLI0oeDYI,0,10
Freaks,https://i.ytimg.com/vi/6xZSPazyRvs/hqdefault.jpg,사기급 초능력을 가진 소녀의 엄마를 죽이려던 인간들의 최후  몰입도★★★★★  영화 프릭스  ,1,1,1,1,1,1,6xZSPazyRvs,2,12
I-랜드,https://i.ytimg.com/vi/H01GTcVKj08/hqdefault.jpg,정말   휴지도 없이 남녀 명이 함께 살면 무슨 일이 벌어질까?,1,1,0,1,1,1,H01GTcVKj08,1,10
I-랜드,https://i.ytimg.com/vi/VS2czJ1Ode8/hqdefault.jpg,신체 건강한 남녀가 무인도에 고립되면 생기는 일,1,1,0,1,1,1,VS2czJ1Ode8,1,7
I-랜드,https://i.ytimg.com/vi/cANUj80Obmc/hqdefault.jpg,악질 흉악범들이 차라리 죽여달라고 할 정도로 끔찍한 미래의 교도소   ㄷ,1,1,1,0,1,1,cANUj80Obmc,1,10
PMC:더벙커,https://i.ytimg.com/vi/KIpRQU96UAA/hqdefault.jpg,몰입하면 빠져나오기 힘든 고강도 체험 영화,1,0,1,0,1,0,KIpRQU96UAA,1,6
R.E.C,https://i.ytimg.com/vi/g7h4H8i9XsY/hqdefault.jpg,    좀비 마니아면 이 장면만 봐도 알 수 있는 레전드 영화,1,0,1,0,1,0,g7h4H8i9XsY,1,11
R.I.P.D.:알.아이.피.디,https://i.ytimg.com/vi/387SMweY91s/hqdefault.jpg,불사신인 줄 알았는데   결국 사후세계 까지 진출해버린 데드풀 형님!       ,1,0,1,0,1,0,387SMweY91s,1,11
S.W.A.T.특수기동대,https://i.ytimg.com/vi/UOvTj-TS7_k/hqdefault.jpg,마피아 보스가 탈옥시켜주면 억을 준다고 방송하자 벌어진 일,1,1,0,1,1,1,UOvTj-TS7_k,1,8
S.W.A.T:특수기동대,https://i.ytimg.com/vi/qwx1df2XWZ8/hqdefault.jpg,자신을 탈옥 시켜주면 억을 주겠다고 글로벌 갱 두목이 말하자 벌어지는 일,1,1,0,1,1,1,qwx1df2XWZ8,1,11
StillLife,https://i.ytimg.com/vi/7pIT0Reonl0/hqdefault.jpg,마네킹 마을에 갇힌 청년 끝까지 봐야함  ㄷ ,1,1,1,0,1,1,7pIT0Reonl0,1,6
S테이프,https://i.ytimg.com/vi/cB5Y7Xy8o3s/hqdefault.jpg,      실수로 뜨밤 영상 찍은거 공유했다  ,1,1,1,0,1,1,cB5Y7Xy8o3s,1,7
THEOA,https://i.ytimg.com/vi/p76AQ1CbQLo/hqdefault.jpg,불법 생체 실험으로 천국에 간 사람들,0,1,0,0,1,0,p76AQ1CbQLo,0,6
THEOA,https://i.ytimg.com/vi/zfmnO70W-p0/hqdefault.jpg,사후세계를 경험한 뒤 매일 자살하기 시작한 사람들,0,1,0,0,1,0,zfmnO70W-p0,0,7
TheProposal,https://i.ytimg.com/vi/BNfKEr05oVw/hqdefault.jpg,미녀 직장상사와 결혼한 남자     ,0,1,0,0,1,0,BNfKEr05oVw,0,4
theChangeUp,https://i.ytimg.com/vi/-dBw8IOyALI/hqdefault.jpg,친구랑 영혼 바껴서 제수씨랑 자야하는 영화,0,1,0,0,0,0,-dBw8IOyALI,0,6
가루지기,https://i.ytimg.com/vi/t5LwD01udaU/hqdefault.jpg,    흑형 물건도 크기로 이기는 남자가 여자만 사는 마을에서 벌인 일들… 넷플릭스 추천 ,1,0,1,1,1,0,t5LwD01udaU,2,12
가루지기,https://i.ytimg.com/vi/E9CaErh_uVY/hqdefault.jpg,이 여자가 달밤에 체조하면 벌어지는 일,1,0,0,1,1,0,E9CaErh_uVY,1,6
가버나움,https://i.ytimg.com/vi/m7L65-iyA3w/hqdefault.jpg,부모님을 고소해서 법정에 세워버린 살 소년,0,0,0,0,1,0,m7L65-iyA3w,0,6
가슴배구단,https://i.ytimg.com/vi/NdTHe7-6EnI/hqdefault.jpg,선생님의 비밀스러운 제안,0,0,0,0,1,0,NdTHe7-6EnI,0,3
가슴배구단,https://i.ytimg.com/vi/g_CDtuh8EOY/hqdefault.jpg,미친 수위때문에 한국에서 개봉금지 당한 전설의 영화,1,0,1,0,1,0,g_CDtuh8EOY,1,7
가시,https://i.ytimg.com/vi/u4R2pCF6NEc/hqdefault.jpg,조보아가 작정하고 선생님한테 들이대면 벌어지는일,1,1,1,1,1,1,u4R2pCF6NEc,2,5
가시,https://i.ytimg.com/vi/N6vgWjB91ps/hqdefault.jpg,    조보아가 맘 먹고 달려들면 생기는 일,1,1,1,1,1,1,N6vgWjB91ps,2,7
가시,https://i.ytimg.com/vi/7oeKbB90GK0/hqdefault.jpg,   조보아씨한테 한눈팔면 벌어지는 바람직하지 못한 일들  조보아  장혁주연     ,1,1,0,1,1,1,7oeKbB90GK0,1,9
가시꽃,https://i.ytimg.com/vi/83ScgI-PxPM/hqdefault.jpg,년 전 왕따가 괴물이 되어 돌아왔다   ,1,0,1,0,1,0,83ScgI-PxPM,1,6
가위손,https://i.ytimg.com/vi/JKZguvWBmSQ/hqdefault.jpg,천재 과학자가 절대 안 죽는 인간을 만든 비밀,1,0,0,1,1,0,JKZguvWBmSQ,1,8
가장보통의연애,https://i.ytimg.com/vi/B6P3y4WDJ-E/hqdefault.jpg,첫 만남에 반말하는 직장상사 참교육하는 신입사원의 정체  ,1,1,1,1,1,1,B6P3y4WDJ-E,2,7
가타카,https://i.ytimg.com/vi/GFbFvb6S8fw/hqdefault.jpg,태어난지 초만에 계급이 정해지는 미친 미래사회,1,1,1,0,1,1,GFbFvb6S8fw,1,6
가타카1997,https://i.ytimg.com/vi/_2I7OOvMTZ8/hqdefault.jpg,유전자가 계급을 결정하는 미래,0,1,0,0,1,0,_2I7OOvMTZ8,0,4
간기남,https://i.ytimg.com/vi/W-vQir2-0d8/hqdefault.jpg,    남편 장례식장에서 다른 남자와 라면 ?  먹는 여자,1,1,1,0,1,1,W-vQir2-0d8,1,8
간기남,https://i.ytimg.com/vi/e2AWUeC2Jxs/hqdefault.jpg,역대급 장례식장 베드신을 선보였던 박시연 주연의 영화,1,0,1,0,1,0,e2AWUeC2Jxs,1,7
간기남,https://i.ytimg.com/vi/nIsKyQqMca8/hqdefault.jpg, 금  대한민국 역사상 가장 야한 장례식에서 불륜 영화  !,1,1,1,0,1,1,nIsKyQqMca8,1,8
감기,https://i.ytimg.com/vi/6QppD6ngVs4/hqdefault.jpg,    마스크 없이 지낼수 없는 현 시대에 꼭 봐야 되는 영화,1,0,1,0,1,0,6QppD6ngVs4,1,11
감기,https://i.ytimg.com/vi/6w9Nit7o90c/hqdefault.jpg,    마스크 안쓴 사람에게 벌어질수 있는 일들  수애 장혁 주연     ,1,0,0,1,1,0,6w9Nit7o90c,1,10
감기,https://i.ytimg.com/vi/NMjhP4T1v4E/hqdefault.jpg,한국에서 감기 바이러스가 퍼지면 일어나는일      ,1,1,0,1,1,1,NMjhP4T1v4E,1,6
갓오브이집트,https://i.ytimg.com/vi/_niZFCbNZdI/hqdefault.jpg,년전 신들이 지구에 존재했던 시절  신과 신이 싸우면 벌어지는 일,1,1,0,1,0,1,_niZFCbNZdI,1,10
갓오브이집트,https://i.ytimg.com/vi/n25dMuPhrEg/hqdefault.jpg,죽은 여친을 살리기 위해 신들이랑 스핑크스의 수수께끼를 푸는 남자,0,1,0,0,1,0,n25dMuPhrEg,0,9
갓오브이집트,https://i.ytimg.com/vi/-WzuXppGBSM/hqdefault.jpg,집채만한 자이언트 뱀을 죽이는 사랑의 여신,1,1,1,0,0,1,-WzuXppGBSM,1,6
강철비,https://i.ytimg.com/vi/Syt6hCosvLU/hqdefault.jpg,강철비 영화  !  무비트립     ,0,0,0,0,0,0,Syt6hCosvLU,0,6
강철비,https://i.ytimg.com/vi/rHIPxsxzmk8/hqdefault.jpg,강철비  제목이 의미하는 것들,1,0,0,1,1,0,rHIPxsxzmk8,1,4
강철비2,https://i.ytimg.com/vi/C4YDHSNHF5k/hqdefault.jpg,북한에서 쿠데타가 일어나면 벌어지는 일,1,1,0,1,1,1,C4YDHSNHF5k,1,5
강철비2:정상회담,https://i.ytimg.com/vi/4JsloznFacQ/hqdefault.jpg,미국은 ㅂㅅ 만들고 북한은 미화한 영화라고?  ㅋ 정말 그럴까? 강철비  ,1,0,1,1,1,0,4JsloznFacQ,2,11
강철비2:정상회담,https://i.ytimg.com/vi/0QsIAa9vQDI/hqdefault.jpg,미국 대통령을 납치하는 순간 벌어지는 일,1,1,0,1,1,1,0QsIAa9vQDI,1,6
강철비2:정상회담,https://i.ytimg.com/vi/7PUw0exp_dk/hqdefault.jpg,한국 북한 미국 세 정상이 동시에 납치당할 수 있는 유일한 시나리오,1,1,1,1,0,1,7PUw0exp_dk,2,11
거꾸로가는남자,https://i.ytimg.com/vi/rX3-9-FGtcs/hqdefault.jpg,여자들이 웃통 벗고 다녀도 되는 세상,0,1,0,0,0,0,rX3-9-FGtcs,0,6
거꾸로가는남자,https://i.ytimg.com/vi/fQX6vSkxwL8/hqdefault.jpg,양성평등! 여성이 벗는 게 이상하지 않는 세상,0,1,0,0,0,0,fQX6vSkxwL8,0,7
거꾸로가는남자,https://i.ytimg.com/vi/98UNAduU6Rk/hqdefault.jpg,서서 볼일 보는 여자들이 있다?!,1,1,0,1,1,1,98UNAduU6Rk,1,5
거미줄에걸린소녀,https://i.ytimg.com/vi/stHshKPoZu8/hqdefault.jpg,아버지에게 몹쓸짓 당한 어린 두 자매가 칼을 갈고 돌아왔다      ,1,0,1,0,1,0,stHshKPoZu8,1,11
거미줄에걸린소녀,https://i.ytimg.com/vi/2TIPQOGcjhQ/hqdefault.jpg,혼자서 재벌들을 털어버리는 여성,1,0,1,0,1,0,2TIPQOGcjhQ,1,4
거짓말,https://i.ytimg.com/vi/pKp7XF5vO0A/hqdefault.jpg,저는 허언증 말기 환자입니다,0,1,0,0,0,0,pKp7XF5vO0A,0,4
거짓말의발명,https://i.ytimg.com/vi/dUNMdyHOm4E/hqdefault.jpg,거짓말을 못 치는  아니 없는 세상  넷플릭스추천     ,0,1,0,0,1,0,dUNMdyHOm4E,0,7
거짓말의발명,https://i.ytimg.com/vi/IujVEAFLFik/hqdefault.jpg,거짓말이 최고의 초능력인  팩폭이 난무하는 기가 막힌 세상     ,1,1,1,0,1,1,IujVEAFLFik,1,8
거짓말의발명,https://i.ytimg.com/vi/LgYWdV9MHH8/hqdefault.jpg,당장 그짓을 하지않으면 지구가 멸망합니다,0,0,0,0,1,0,LgYWdV9MHH8,0,5
거친녀석들,https://i.ytimg.com/vi/Q7nPw9gkz2s/hqdefault.jpg,엄청 소심한 친구들끼리 거칠게 일탈 한번 해보려다 생긴 일     ,1,1,0,1,1,1,Q7nPw9gkz2s,1,9
걸리버여행기,https://i.ytimg.com/vi/3QlF_EjpXfo/hqdefault.jpg,지구종말 직전 미쳐버린 사람들  ㅋ,1,0,1,0,1,0,3QlF_EjpXfo,1,5
걸리버여행기,https://i.ytimg.com/vi/NdzRO2myT78/hqdefault.jpg,거시기로 나라를 구한 영웅,1,1,0,1,1,1,NdzRO2myT78,1,4
걸하우스,https://i.ytimg.com/vi/XjMTNqSLOHM/hqdefault.jpg,여캠들의 시간을 생방송하는 어른용 방송   ㄷ,1,1,1,0,0,1,XjMTNqSLOHM,1,6
걸하우스,https://i.ytimg.com/vi/FfE-nUBmZeQ/hqdefault.jpg,일 시간 동안 여자들을 볼 수 있는 ㅂ방에서 벌어진 일  공포     ,1,1,1,1,1,1,FfE-nUBmZeQ,2,11
겁나는여친의완벽한비밀,https://i.ytimg.com/vi/oTexi81bID8/hqdefault.jpg,맨 몸으로 총알 막아내는 내 여자친구,0,1,0,0,0,0,oTexi81bID8,0,6
겁나는여친의완벽한비밀,https://i.ytimg.com/vi/izUDyWw5to0/hqdefault.jpg,상위     여자와 연애를 하면 벌어지는 일  ㅋ,1,0,1,1,1,0,izUDyWw5to0,2,8
겁나는여친의완벽한비밀,https://i.ytimg.com/vi/3FvT-L87wU0/hqdefault.jpg,      힘쎈 여친이랑 함부로 하면 생기는 일,1,1,0,1,1,1,3FvT-L87wU0,1,8
게이샤의추억,https://i.ytimg.com/vi/24suoGSaX08/hqdefault.jpg,일본 최고의 기생이 되기 위해 소녀가 배운 것들,1,1,0,1,1,1,24suoGSaX08,1,8
